"Id","Name","Description","Category","Value","Unit","Status","Timestamp"
"APP_RESPONSE_TIME","Temps de r̩ponse","Temps de r̩ponse moyen des requ̻tes applicatives","Performance","228","ms","Normal","2025-04-22 23:33:11"
"APP_ERROR_RATE","Taux d'erreur","Pourcentage de requ̻tes ayant g̩n̩r̩ une erreur","Fiabilit̩","0,78740157480315","%","Normal","2025-04-22 23:33:11"
"APP_THROUGHPUT","D̩bit de requ̻tes","Nombre de requ̻tes trait̩es par seconde","Performance","50,8","req/s","Normal","2025-04-22 23:33:11"
"APP_CONCURRENT_USERS","Utilisateurs concurrents","Nombre d'utilisateurs actifs simultan̩ment","Charge","40","utilisateurs","Normal","2025-04-22 23:33:11"
"APP_CPU_USAGE","Utilisation CPU par l'application","Pourcentage d'utilisation CPU par les processus de l'application","Ressources","50","%","Normal","2025-04-22 23:33:11"
"APP_MEMORY_USAGE","Utilisation m̩moire par l'application","Quantit̩ de m̩moire utilis̩e par les processus de l'application","Ressources","880","MB","Normal","2025-04-22 23:33:11"
"N8N_WORKFLOW_SUCCESS_RATE","Taux de succ̬s des workflows n8n","Pourcentage de workflows n8n ex̩cut̩s avec succ̬s","Fiabilit̩","95","%","Warning","2025-04-22 23:33:11"
"N8N_WORKFLOW_EXECUTION_TIME","Temps d'ex̩cution des workflows n8n","Temps moyen d'ex̩cution des workflows n8n","Performance","8,54","s","Normal","2025-04-22 23:33:11"
"N8N_ACTIVE_WORKFLOWS","Workflows n8n actifs","Nombre de workflows n8n actifs","Utilisation","5","workflows","Normal","2025-04-22 23:33:11"
"API_SUCCESS_RATE","Taux de succ̬s des appels API","Pourcentage d'appels API r̩ussis (code 2xx/3xx)","Fiabilit̩","97,76","%","Warning","2025-04-22 23:33:11"
"API_RESPONSE_TIME","Temps de r̩ponse API","Temps de r̩ponse moyen des appels API","Performance","185","ms","Normal","2025-04-22 23:33:11"
"API_RATE_LIMIT","Utilisation des limites d'API","Pourcentage d'utilisation des limites de taux d'API","Utilisation","84","%","Warning","2025-04-22 23:33:11"
"SCRIPT_EXECUTION_TIME","Temps d'ex̩cution des scripts","Temps moyen d'ex̩cution des scripts PowerShell","Performance","3,88","s","Normal","2025-04-22 23:33:11"
"SCRIPT_ERROR_RATE","Taux d'erreur des scripts","Pourcentage de scripts ayant g̩n̩r̩ une erreur","Fiabilit̩","1,8","%","Normal","2025-04-22 23:33:11"
"SCRIPT_CPU_USAGE","Utilisation CPU par les scripts","Pourcentage d'utilisation CPU par les scripts PowerShell","Ressources","27,2","%","Normal","2025-04-22 23:33:11"
"APP_HEALTH_INDEX","Indice de sant̩ applicative","Indice composite de sant̩ des applications","Global","1,01674960629921","Score","Critical","2025-04-22 23:33:11"
"N8N_HEALTH_INDEX","Indice de sant̩ n8n","Indice composite de sant̩ de n8n","Global","0,51062","Score","Normal","2025-04-22 23:33:11"
"API_HEALTH_INDEX","Indice de sant̩ API","Indice composite de sant̩ des API","Global","1,2118","Score","Critical","2025-04-22 23:33:11"
