Timestamp,Metric,Value
2025-04-22T10:00:00,CPU,45.2
2025-04-22T10:05:00,CPU,48.7
2025-04-22T10:10:00,CPU,52.3
2025-04-22T10:15:00,CPU,49.8
2025-04-22T10:20:00,CPU,47.5
2025-04-22T10:25:00,CPU,46.2
2025-04-22T10:30:00,CPU,44.9
2025-04-22T10:35:00,CPU,43.7
2025-04-22T10:40:00,CPU,45.1
2025-04-22T10:45:00,CPU,46.8
2025-04-22T10:50:00,CPU,48.2
2025-04-22T10:55:00,CPU,47.3
2025-04-22T11:00:00,CPU,46.5
2025-04-22T10:00:00,Memory,62.8
2025-04-22T10:05:00,Memory,63.2
2025-04-22T10:10:00,Memory,64.5
2025-04-22T10:15:00,Memory,65.7
2025-04-22T10:20:00,Memory,66.3
2025-04-22T10:25:00,Memory,67.1
2025-04-22T10:30:00,Memory,68.4
2025-04-22T10:35:00,Memory,69.2
2025-04-22T10:40:00,Memory,70.5
2025-04-22T10:45:00,Memory,71.8
2025-04-22T10:50:00,Memory,72.3
2025-04-22T10:55:00,Memory,73.1
2025-04-22T11:00:00,Memory,74.2
2025-04-22T10:00:00,Disk,35.6
2025-04-22T10:05:00,Disk,35.7
2025-04-22T10:10:00,Disk,35.9
2025-04-22T10:15:00,Disk,36.2
2025-04-22T10:20:00,Disk,36.5
2025-04-22T10:25:00,Disk,36.8
2025-04-22T10:30:00,Disk,37.1
2025-04-22T10:35:00,Disk,37.4
2025-04-22T10:40:00,Disk,37.7
2025-04-22T10:45:00,Disk,38.0
2025-04-22T10:50:00,Disk,38.3
2025-04-22T10:55:00,Disk,38.6
2025-04-22T11:00:00,Disk,38.9
